number,study,date,authors,title,journal,year,topic_raw,topic,topic_description,measures,measures_order,stimClass_raw,stimClass,visualMoving,stimType,design,subComp,location,sleeping,study_description,brainRegions_raw,measures_raw,numberSegment_raw,numberSegments,durationSegment_raw,durationSegment,completedSegment,completedDuration,length,age_raw,age,ageRange_raw,ageRange,newborn,female,femaleProp,characteristics,preterm,groupType,inclusionCriteria,manufacturer,version,detectors,channels,recruited,excludedBaby,excludedSig,excludedExp,excludedOther,finalSample_raw,finalSample,includeOverall,includeReasons,attrition,attritionBaby,attritionSig,attritionExp
123,123,6/10/20,"Kotilahti, K.; Nissila, I.; Nasi, T.; Lipiainen, L.; Noponen, T.; Merilainen, P.; Huotilainen, M.; Fellman, V.",Hemodynamic responses to speech and music in newborn infants,Hum Brain Mapp,2010,C,C,Lateralization of speech and music perception,A,A,C,A,,"D, I - Mozart ",B,A,hospital,sleeping,"Newborns tested during natural sleep, exposed to 5s samples of speech or music, each followed by silent rest periods of varying length (mean 15s)",D,A,64,64,5,5,Not reported ,Not reported ,320,1.8 days ,0.06,1 to 4 days ,Newborn,newborn,4,0.307692308,Finnish,full-term,td,"healthy, full term ",Helinski University of Technology,Not reported ,16,16,Not reported ,NA,Not reported,Not reported,Not reported,13,13,0,0,NA,NA,NA,NA
124,124,6/10/20,"Kotilahti, Kalle; Nissiläš_Œ_, Ilkka; Huotilainen, Minna; Mäš_Œ_keläš_Œ_, Riikka; Gavrielides, Nasia; Noponen, Tommi; Bjäš_äš‰rkman, Patrick; Fellman, Vineta; Katila, Toivo",Bilateral hemodynamic responses to auditory stimulation in newborn infants,NeuroReport: For Rapid Communication of Neuroscience Research,2005,C,C,Neonatal bilateral hemodynamic responses to auditory responses,A,A,C,A,,G,B,"A,C",hospital,sleeping,"Newborns tested during natural sleep, exposed to up to 64 5s trains of sinusoidal tones at standard and deviant frequencies (8 beeps - 80% standard, 20% deviant), each train followed by 25s silent interval",D,A,30,30,5,5,Not reported ,Not reported ,150,1.6 days ,0.053333333,1 to 3 days ,Newborn,newborn,12,0.6,Finnish ,full-term,td,"healthy, full term ",Helinski University of Technology,Not reported ,16,16,Not reported,NA,Not reported,Not reported,Not reported,20,20,0,0,NA,NA,NA,NA
130,130,6/11/20,"Kusaka, Takashi; Kawada, Kou; Okubo, Kensuke; Nagano, Keiko; Namba, Masanori; Okada, Hitoshi; Imai, Tadashi; Isobe, Kenichi; Itoh, Susumu",Noninvasive Optical Imaging in the Visual Cortex in Young Infants,Human Brain Mapping,2004,D,D,Visual cortex responses to light stimulation in infants vs. adults,A,A,H,Other,,F,A,"A,D",hospital,sleeping,"Alternating light stimulation periods with stroboscopic white flashing light preojected on the eyelids (15s each) and rest periods of non-flashing light (45s each), infants tested during quiet sleep and adults kept eyes closed/were instructed to sleep during the experiment",C,A,8 to 11,NA,15,15,9.8,147,NA,72.6 days ,2.38,29 to 111 days ,,,Not reported ,NA,Japanese ,full-term,td,"had undergone clinical MRI examination for pathologic condition unrelated to visual function (infant group), healthy (adult group)",Schimadzu,OMM 2000,8,24,Not reported ,NA,Not reported ,Not reported ,Not reported,5,5,0,0,NA,NA,NA,NA
131,131,6/11/20,"Liao, S. M.; Gregg, N. M.; White, B. R.; Zeff, B. W.; Bjerkaas, K. A.; Inder, T. E.; Culver, J. P.",Neonatal hemodynamic response to visual cortex activity: High-density near-infrared spectroscopy study,Journal of Biomedical Optics,2010,D,D,Using fNIRS to measure brain activation in visual cortex of neonates,A,A,A,V,static,F,A,A,hospital,sleeping,"Newborns tested while in a quiet state with their eyes closed, stimuli (two counterphase checkerboard patterns) presented on a screen 20cm away from eyelids for 10s at a time, separated by 20s baseline black screen",C,A,Not reported ,NA,10,10,Not reported ,15 to 20 mins ,NA,2 days,0.066666667,1 to 3 days ,Newborn,newborn,6,0.6,None ,full-term,td,"healthy, full-term, uncomplicated prenatal and postnatal courses",Custom-built,Not reported ,10,NA,11,0,1,0,0,10,10,1,1,0.090909091,NA,0.090909091,NA
132a,132,6/11/20,"Lloyd-Fox, S.; Begus, K.; Halliday, D.; Pirazzoli, L.; Blasi, A.; Papademetriou, M.; Darboe, M. K.; Prentice, A. M.; Johnson, M. H.; Moore, S. E.; Elwell, C. E.",Cortical specialisation to social stimuli from the first days to the second year of life: A rural Gambian cohort,Developmental Cognitive Neuroscience,2017,"F,C",F,Social responses to visual and auditory stimuli,A,A,"B,C",AV,moving,"A,E,I (vocal non-speech sounds and non-vocal environmental sounds)",B,"A,B (cohort 2),C (comparisons with previous UK studies)",lab,awake,"Alternating trial design - silent social videos (actor performing hand games) vs. social videos + vocal non-speech sound vs. social videos + non-vocal environmental sound (9 to 12s each), separated by reference trials of non-social images (cars and helicopters), experiment continued until infants became fussy, 3 different cohorts of Gambian infants tested","A,B,D",A,Infinite,NA,9 to 12,10.5,Not reported ,Not reported ,NA,41 days (cohort 1),1.34,0 to 2 (cohort 1),0 to 2,non-newborn,4,0.222222222,Gambian ,full-term,td_risk,"full-term (37 to 42 weeks gestation), normal birthweight, within 3 -scores of weight-for-height or head circumference WHO standards",UCL ,Not reported ,4,8,27,0,8,1,0,18,18,1,1,0.333333333,NA,0.296296296,0.037037037
132c,132,6/11/20,"Lloyd-Fox, S.; Begus, K.; Halliday, D.; Pirazzoli, L.; Blasi, A.; Papademetriou, M.; Darboe, M. K.; Prentice, A. M.; Johnson, M. H.; Moore, S. E.; Elwell, C. E.",Cortical specialisation to social stimuli from the first days to the second year of life: A rural Gambian cohort,Developmental Cognitive Neuroscience,2017,"F,C",F,Social responses to visual and auditory stimuli,A,A,"B,C",AV,moving,"A,E,I (vocal non-speech sounds and non-vocal environmental sounds)",B,"A,B (cohort 2),C (comparisons with previous UK studies)",lab,awake,"Alternating trial design - silent social videos (actor performing hand games) vs. social videos + vocal non-speech sound vs. social videos + non-vocal environmental sound (9 to 12s each), separated by reference trials of non-social images (cars and helicopters), experiment continued until infants became fussy, 3 different cohorts of Gambian infants tested","A,B,D",A,Infinite,NA,9 to 12,10.5,Not reported ,Not reported ,NA,348.4 days (cohort 2 - session 2),11.45,9 to 13 (cohort 2 - session 2),9 to 13,non-newborn,10,0.4,Gambian ,full-term,td_risk,"full-term (37 to 42 weeks gestation), normal birthweight, within 3 -scores of weight-for-height or head circumference WHO standards",UCL ,Not reported ,4,12,37,7,3,0,2 (growth faltering),25,25,1,1,0.285714286,0.2,0.085714286,NA
132d,132,6/11/20,"Lloyd-Fox, S.; Begus, K.; Halliday, D.; Pirazzoli, L.; Blasi, A.; Papademetriou, M.; Darboe, M. K.; Prentice, A. M.; Johnson, M. H.; Moore, S. E.; Elwell, C. E.",Cortical specialisation to social stimuli from the first days to the second year of life: A rural Gambian cohort,Developmental Cognitive Neuroscience,2017,"F,C",F,Social responses to visual and auditory stimuli,A,A,"B,C",AV,moving,"A,E,I (vocal non-speech sounds and non-vocal environmental sounds)",B,"A,B (cohort 2),C (comparisons with previous UK studies)",lab,awake,"Alternating trial design - silent social videos (actor performing hand games) vs. social videos + vocal non-speech sound vs. social videos + non-vocal environmental sound (9 to 12s each), separated by reference trials of non-social images (cars and helicopters), experiment continued until infants became fussy, 3 different cohorts of Gambian infants tested","A,B,D",A,Infinite,NA,9 to 12,10.5,Not reported ,Not reported ,NA,428.2 days (cohort 2 - session 3),15.85,12 to 16 (cohort 2 - session 3),12 to 16,non-newborn,10,0.526315789,Gambian ,full-term,td_risk,"full-term (37 to 42 weeks gestation), normal birthweight, within 3 -scores of weight-for-height or head circumference WHO standards",UCL ,Not reported ,4,12,39,17,0,0,3 (growth faltering),19,19,1,1,0.472222222,0.472222222,NA,NA
133,133,6/11/20,"Lloyd-Fox, S.; Blasi, A.; Elwell, C. E.; Charman, T.; Murphy, D.; Johnson, M. H.",Reduced neural sensitivity to social stimuli in infants at risk for autism,Proceedings of the Royal Society B: Biological Sciences,2013,"F,C",F,Cortical responses to social stimuli in infants with low vs. high risk for ASD,A,A,"B,C",AV,moving,"A,E,I (vocal non-speech sounds and non-vocal environmental sounds)",B,A,lab,awake,"Alternating trial design - silent social videos (actor moving eyes/performing hand games) vs. social videos + vocal non-speech sound vs. social videos + non-vocal environmental sound (9 to 12s each), separated by reference trials of non-social images, experiment continued until infants became fussy","A,D",A,Infinite,NA,9 to 12 ,10.5,"13.77 (low-risk), 14.13 (high-risk)","~144.6 (low-risk), ~148.4 (high-risk)",NA,"153.81 days (low-risk group), 149.56 days (high-risk group)",5.05,4 to 6 ,4 to 6,non-newborn,16,0.470588235,Some familial risk for ASD (high-risk group),full-term,mixed,"no first-degree relative with ASD diagnosis/at least 1 TD older full sibling (low-risk group), 1 older full sibling with ASD diagnosis (high-risk group)",UCL ,Not reported ,NA,26,56,14,3,5,0,34,34,0,1,0.392857143,0.25,0.053571429,0.089285714
133a,133,6/11/20,"Lloyd-Fox, S.; Blasi, A.; Elwell, C. E.; Charman, T.; Murphy, D.; Johnson, M. H.",Reduced neural sensitivity to social stimuli in infants at risk for autism,Proceedings of the Royal Society B: Biological Sciences,2013,"F,C",F,Cortical responses to social stimuli in infants with low vs. high risk for ASD,A,A,"B,C",AV,moving,"A,E,I (vocal non-speech sounds and non-vocal environmental sounds)",B,A,lab,awake,"Alternating trial design - silent social videos (actor moving eyes/performing hand games) vs. social videos + vocal non-speech sound vs. social videos + non-vocal environmental sound (9 to 12s each), separated by reference trials of non-social images, experiment continued until infants became fussy","A,D",A,Infinite,NA,9 to 12 ,10.5,13.77 (low-risk),~144.6 (low-risk),NA,153.81 days (low-risk group),5.13,4 to 6 ,4 to 6,non-newborn,6,0.375,None,full-term,td,"no first-degree relative with ASD diagnosis/at least 1 TD older full sibling (low-risk group), 1 older full sibling with ASD diagnosis (high-risk group)",UCL ,Not reported ,NA,26,25,NA,Not reported,Not reported,0,16,16,1,0,0.36,NA,NA,NA
133b,133,6/11/20,"Lloyd-Fox, S.; Blasi, A.; Elwell, C. E.; Charman, T.; Murphy, D.; Johnson, M. H.",Reduced neural sensitivity to social stimuli in infants at risk for autism,Proceedings of the Royal Society B: Biological Sciences,2013,"F,C",F,Cortical responses to social stimuli in infants with low vs. high risk for ASD,A,A,"B,C",AV,moving,"A,E,I (vocal non-speech sounds and non-vocal environmental sounds)",B,A,lab,awake,"Alternating trial design - silent social videos (actor moving eyes/performing hand games) vs. social videos + vocal non-speech sound vs. social videos + non-vocal environmental sound (9 to 12s each), separated by reference trials of non-social images, experiment continued until infants became fussy","A,D",A,Infinite,NA,9 to 12 ,10.5,14.13 (high-risk),~148.4 (high-risk),NA,149.56 days (high-risk group),4.92,4 to 6 ,4 to 6,non-newborn,10,0.555555556,Familial risk for ASD (high-risk group),full-term,td_risk,"no first-degree relative with ASD diagnosis/at least 1 TD older full sibling (low-risk group), 1 older full sibling with ASD diagnosis (high-risk group)",UCL ,Not reported ,NA,26,29,NA,Not reported,Not reported,0,18,18,1,0,0.379310345,NA,NA,NA
134,134,6/11/20,"Lloyd-Fox, S.; Blasi, A.; Mercure, E.; Elwell, C. E.; Johnson, M. H.",The emergence of cerebral specialization for the human voice over the first months of life,Social Neuroscience,2012,C,C,Differentiating vocalizations and other environment sounds,A,A,"B,C",AV,moving,"A,E,I (vocal non-speech sounds and non-vocal environmental sounds)",B,A,lab,awake,"Alternating trial design - experimental auditory trials (10s each) + baseline trials (10s each), experimental trials presented in 3 conditions: voice, non-voice, and silence, presented along with dynamic videos of social stimuli, baseline trials consisted of static images of transport, experiment continued until infants became fussy","A,D",A,Infinite,NA,10,10,Not reported ,Not reported ,NA,161.22 days ,5.3,4 to 7 (115 to 209 days),3.83 to 6.97,non-newborn,15,0.454545455,None ,full-term,td,"healthy, full-term (37 to 42 weeks gestation), normal birthweight (>2500g), no known hearing deficits",UCL ,Not reported ,NA,38,50,15,1,1,0,33,33,1,0,0.34,0.3,0.02,0.02
135,135,6/11/20,"Lloyd-Fox, S.; Blasi, A.; Pasco, G.; Gliga, T.; Jones, E. J. H.; Murphy, D. G. M.; Elwell, C. E.; Charman, T.; Johnson, M. H.; Baron-Cohen, S.; Bedford, R.; Bolton, P.; Cheung, H. M. C.; Davies, K.; Elsabbagh, M.; Fernandes, J.; Gammer, I.; Guiraud, J.; Liew, M.; Maris, H.; O'Hara, L.; Pickles, A.; Ribeiro, H.; Salomone, E.; Tucker, L.; Yemane, F.; the, Basis Team",Cortical responses before 6-months of life associate with later autism,European Journal of Neuroscience,2018,"F,C",F,Brain responses to social videos for infants with different levels of Autism risk,"A,B",A,"B,C",AV,moving,"A,E,I (vocal non-speech sounds and non-vocal environmental sounds)",B,"A,B,C",lab,awake,"Three different trial conditions (visual social, auditorry non-vocal, and auditory vocal) each 9 to 12s long and separated by a non-social baseline period. In addition to this fNIRS visit, there was a 36 month visit to administer behavioral tests","A,D",A,Infinite,NA,9 to 12,10.5,12.5,131.25,NA,"153.81 days (low-risk group), 149.35 days (high-risk group)",5.05,4 to 6,4 to 6,non-newborn,16,0.444444444,Some familial risk for ASD (high-risk group),full-term,mixed,"no first-degree relative with ASD diagnosis/at least 1 TD older full sibling (low-risk group), 1 older full sibling with ASD diagnosis (high-risk group)",UCL ,Not reported ,NA,26,60,18,5,0,0,36,36,0,1,0.4,0.3,0.083333333,NA
135a,135,6/11/20,"Lloyd-Fox, S.; Blasi, A.; Pasco, G.; Gliga, T.; Jones, E. J. H.; Murphy, D. G. M.; Elwell, C. E.; Charman, T.; Johnson, M. H.; Baron-Cohen, S.; Bedford, R.; Bolton, P.; Cheung, H. M. C.; Davies, K.; Elsabbagh, M.; Fernandes, J.; Gammer, I.; Guiraud, J.; Liew, M.; Maris, H.; O'Hara, L.; Pickles, A.; Ribeiro, H.; Salomone, E.; Tucker, L.; Yemane, F.; the, Basis Team",Cortical responses before 6-months of life associate with later autism,European Journal of Neuroscience,2018,"F,C",F,Brain responses to social videos for infants with different levels of Autism risk,"A,B",A,"B,C",AV,moving,"A,E,I (vocal non-speech sounds and non-vocal environmental sounds)",B,"A,B,C",lab,awake,"Three different trial conditions (visual social, auditorry non-vocal, and auditory vocal) each 9 to 12s long and separated by a non-social baseline period. In addition to this fNIRS visit, there was a 36 month visit to administer behavioral tests","A,D",A,Infinite,NA,9 to 12,10.5,12.5,131.25,NA,153.81 days (low-risk group),5.13,4 to 6,4 to 6,non-newborn,6,0.375,None,full-term,td,"no first-degree relative with ASD diagnosis/at least 1 TD older full sibling (low-risk group), 1 older full sibling with ASD diagnosis (high-risk group)",UCL ,Not reported ,NA,26,23,NA,Not reported,0,0,16,16,1,0,0.304347826,NA,NA,NA
135b,135,6/11/20,"Lloyd-Fox, S.; Blasi, A.; Pasco, G.; Gliga, T.; Jones, E. J. H.; Murphy, D. G. M.; Elwell, C. E.; Charman, T.; Johnson, M. H.; Baron-Cohen, S.; Bedford, R.; Bolton, P.; Cheung, H. M. C.; Davies, K.; Elsabbagh, M.; Fernandes, J.; Gammer, I.; Guiraud, J.; Liew, M.; Maris, H.; O'Hara, L.; Pickles, A.; Ribeiro, H.; Salomone, E.; Tucker, L.; Yemane, F.; the, Basis Team",Cortical responses before 6-months of life associate with later autism,European Journal of Neuroscience,2018,"F,C",F,Brain responses to social videos for infants with different levels of Autism risk,"A,B",A,"B,C",AV,moving,"A,E,I (vocal non-speech sounds and non-vocal environmental sounds)",B,"A,B,C",lab,awake,"Three different trial conditions (visual social, auditorry non-vocal, and auditory vocal) each 9 to 12s long and separated by a non-social baseline period. In addition to this fNIRS visit, there was a 36 month visit to administer behavioral tests","A,D",A,Infinite,NA,9 to 12,10.5,12.5,131.25,NA,149.35 days (high-risk group),5.98,4 to 6,4 to 6,non-newborn,10,0.5,Familial risk for ASD (high-risk group),full-term,td_risk,"no first-degree relative with ASD diagnosis/at least 1 TD older full sibling (low-risk group), 1 older full sibling with ASD diagnosis (high-risk group)",UCL ,Not reported ,NA,26,37,NA,Not reported,0,0,20,20,1,0,0.45945946,NA,NA,NA
136,136,6/11/20,"Lloyd-Fox, S.; Papademetriou, M.; Darboe, M. K.; Everdell, N. L.; Wegmuller, R.; Prentice, A. M.; Moore, S. E.; Elwell, C. E.",Functional near infrared spectroscopy (fNIRS) to assess cognitive function in infants in rural Africa,Scientific Reports,2014,"F,C",F,Localization functional brain activity in response to social stimuli in Gambian infants,A,A,"B,C",AV,moving,"A,E,I (vocal non-speech sounds and non-vocal environmental sounds)",B,A,lab,awake,"Alternating trial design - silent social videos (actor moving eyes/performing hand games) vs. social videos + vocal non-speech sound vs. social videos + non-vocal environmental sound (9 to 12s each), separated by reference trials of non-social images, experiment continued until infants became fussy","A,D",A,Infinite ,NA,9 to 12,10.5,Not reported ,anywhere from 108secs to 144 secs,NA,174.4 days ,5.81,4 to 8,4 to 6,non-newborn,10,0.416666667,Gambian ,full-term,td_risk,"fullterm, normal birth weight, typical weight-for-height and head cricumference",UCL ,Not reported ,4,18,42,11,0,7,0,24,24,1,0,0.428571429,0.261904762,NA,0.166666667
138,138,6/11/20,"Lloyd-Fox, Sarah; Blasi, Anna; Everdell, Nick; Elwell, Clare E.; Johnson, Mark H.",Selective cortical mapping of biological motion processing in young infants,Journal of Cognitive Neuroscience,2011,F,F,Processing of biological movement,A,A,B,V,moving,"A,E,I (vocal non-speech sounds and non-vocal environmental sounds)",B,A,lab,awake,"Alternating trial design (10s each) - biological motion experimental trials (actor moving eyes, mouth, or hands) vs. baseline mechanical motion trials, experiment conitinued until infant became bored or fussy","A,D",A,Infinite,NA,10,10,Not reported ,Not reported ,NA,150.38 days,5.01,5 (140 to 161 days),4.67 to 5.37,non-newborn,8,0.615384615,None ,full-term,td,healthy,UCL ,Not reported ,NA,45,24,6,3,Not reported,Not reported,13,13,1,0,0.458333333,0.25,0.125,NA
139a,139,6/15/20,"Lloyd-Fox, Sarah; Blasi, Anna; Volein, Agnes; Everdell, Nick; Elwell, Claire E.; Johnson, Mark H.",Social perception in infancy: A near infrared spectroscopy study,Child Development,2009,F,F,Functional activation in the social brain network of infants,A,A,B,V,moving,"A,E,I (moving machines/mechanical toys)",B,A,lab,awake,"Trials alternated between 16-s experimental trial (exp 1: dyanmic social stimuli, exp 2: dynamic nonsocial stimuli) and 16-s baseline trial.",D,A,Infinite,NA,16,16,9.6 (study 1),6.5 min (study 1),NA,154 days (study 1),5.13,5 months (study 1: 145. 3 - 162.7 days),4.84 to 5.42,non-newborn,13,0.541666667,British ,full-term,td,Not reported ,UCL ,Not reported ,8,20,26,2,0,0,0,24,24,1,0,0.076923077,0.076923077,NA,NA
139b,139,6/15/20,"Lloyd-Fox, Sarah; Blasi, Anna; Volein, Agnes; Everdell, Nick; Elwell, Claire E.; Johnson, Mark H.",Social perception in infancy: A near infrared spectroscopy study,Child Development,2009,F,F,Functional activation in the social brain network of infants,A,A,B,V,moving,"A,E,I (moving machines/mechanical toys)",B,A,lab,awake,"Trials alternated between 16-s experimental trial (exp 1: dyanmic social stimuli, exp 2: dynamic nonsocial stimuli) and 16-s baseline trial.",D,A,Infinite,NA,16,16,10 (study 2 - 5 social dynamic and 5 non-social dynamic trials),6min (study 2),NA,146 days (study 2),4.87,5 months (study 2: 139.6 - 152.4 days),4.65 to 5.08,non-newborn,6,0.5,British ,full-term,td,Not reported ,UCL ,Not reported ,8,20,19,6,0,1,0,12,12,1,0,0.368421053,0.315789474,NA,0.052631579
140a,140,6/15/20,"Lloyd-Fox, Sarah; Szäš_Œ©plaki-Käš_äš‰lläŠší‚d, Borbäš_ŒÁla; Yin, Jun; Csibra, Gergely",Are you talking to me? Neural activations in 6-month-old infants in response to being addressed during natural interactions,Cortex: A Journal Devoted to the Study of the Nervous System and Behavior,2015,"F,C",F,Cortical responses to infant-directed speech and gaze in communicative contexts,A,A,"B,C",AV,moving,"A,D,E","B,D",A,lab,awake,"For study 1, infants were tested in pairs in a naturalistic setting, female experimenter recited nursery rhymes in IDS and communiticated with one infant at a time for 15s in alternating trials (2 conditions: infant-directed vs. other-directed gaze), trials separated by 10s silent baseline periods when experimenter did not look at either infant, experiment continued until infants became bored or fussy; For study 2, infants were tested in a similar paradigm but by themselves, female experimenter maintained eye contact with the participant but varied intonation (IDS vs. ADS), infants only saw 4 trials (2 per intonation condition)","A,B,D ",A,Infinite (study 1),NA,15,15,Not reported ,Not reported ,NA,182.5 days (study 1),6.08,6 (164 to 199 days for study 1),5.47 to 6.63,non-newborn,7,0.291666667,Hungarian ,full-term,td,"healthy, full term",UCL ,Not reported ,NA,17,52,22,3,3,0,24,24,1,0,0.538461539,0.423076923,0.057692308,0.057692308
140b,140,6/15/20,"Lloyd-Fox, Sarah; Szäš_Œ©plaki-Käš_äš‰lläŠší‚d, Borbäš_ŒÁla; Yin, Jun; Csibra, Gergely",Are you talking to me? Neural activations in 6-month-old infants in response to being addressed during natural interactions,Cortex: A Journal Devoted to the Study of the Nervous System and Behavior,2015,"F,C",F,Cortical responses to infant-directed speech and gaze in communicative contexts,A,A,"B,C",AV,moving,"A,D,E","B,D",A,lab,awake,"For study 1, infants were tested in pairs in a naturalistic setting, female experimenter recited nursery rhymes in IDS and communiticated with one infant at a time for 15s in alternating trials (2 conditions: infant-directed vs. other-directed gaze), trials separated by 10s silent baseline periods when experimenter did not look at either infant, experiment continued until infants became bored or fussy; For study 2, infants were tested in a similar paradigm but by themselves, female experimenter maintained eye contact with the participant but varied intonation (IDS vs. ADS), infants only saw 4 trials (2 per intonation condition)","A,B,D ",A,4 (study 2),4,15,15,Not reported ,Not reported ,60,178.42 days (study 2),5.95,6 (165 to 194 days for study 2),5.5 to 6.47,non-newborn,12,0.5,Hungarian ,full-term,td,"healthy, full term",UCL ,Not reported ,NA,34,51,12,8,5,2 (parental interference),24,24,1,0,0.510204082,0.244897959,0.163265306,0.102040816
141,141,6/15/20,"Lloyd-Fox, Sarah; Wu, Rachel; Richards, John E.; Elwell, Clare E.; Johnson, Mark H.",Cortical activation to action perception is associated with action production abilities in young infants,Cerebral Cortex,2015,"F, I - Motor development ",F,Relationship between pSTS-TPJ responses to human action and infant motor development,"A,B",A,B,V,moving,"A, E",B,A,lab,awake,"Alternating trial design - experimental trials (10s each) where female actors either performed hand movements (manual action condition) or moved their eyes (eye gaze shift condition), separated by baseline images of transport (10s)","A,B,D",A,Not reported ,NA,10,10,10.18 (5.24 manual action trials + 4.94 gaze shift trials),101.8,NA,154.8 days,5.16,4 to 6 (134 to 174 days),4.47 to 5.8,non-newborn,10,0.416666667,None ,full-term,td,healthy ,UCL ,Not reported ,NA,26,36,8,2,0,2 (did not complete behavioral portion for comparison),24,24,1,0,0.294117647,0.235294118,0.058823529,NA
142a,142,6/15/20,"Lloydäó_í‹íÈFox, Sarah; Blasi, Anna; McCann, Samantha; Rozhko, Maria; Katus, Laura; Mason, Luke; Austin, Topun; Moore, Sophie E.; Elwell, Clare E.",Habituation and novelty detection fnirs brain responses in 5- and 8-month-old infants: The gambia and uk,Developmental Science,2019,"B,C",B,Neural correlates of habituation and novelty detection in UK vs. Gambian infants,A,A,C,A,,"A,D,E","B,D","A,B,C",lab,awake,"Infants tested while an experimenter silently interacted with them, auditory stimuli presented for 8s at a time - 15 familiarization trials (female speaker) + 5 novel trials (male speaker) + 5 post-test trials (same female speaker), each preceded by 10s of silence","A,B,D",A,25,25,8,8,24.88 (UK group - 15 familiarization trials + 4.98 novel trials + 4.90 post-test trials),199.04 (UK group),200,155.79 days (UK group - 5mo),5.19,5,5,non-newborn,19,0.487179487,British,full-term,td,"full-term (37 to 42 weeks gestation), normal birthweight (>2500g)",Gowerlabs Ltd.,Not reported ,NA,34,58,2,8,9,0,39,39,1,0,0.327586207,0.034482759,0.137931035,0.155172414
142b,142,6/15/20,"Lloydäó_í‹íÈFox, Sarah; Blasi, Anna; McCann, Samantha; Rozhko, Maria; Katus, Laura; Mason, Luke; Austin, Topun; Moore, Sophie E.; Elwell, Clare E.",Habituation and novelty detection fnirs brain responses in 5- and 8-month-old infants: The gambia and uk,Developmental Science,2019,"B,C",B,Neural correlates of habituation and novelty detection in UK vs. Gambian infants,A,A,C,A,,"A,D,E","B,D","A,B,C",lab,awake,"Infants tested while an experimenter silently interacted with them, auditory stimuli presented for 8s at a time - 15 familiarization trials (female speaker) + 5 novel trials (male speaker) + 5 post-test trials (same female speaker), each preceded by 10s of silence","A,B,D",A,25,25,8,8,24.59 (Gambian group - 14.99 familiarization trials + 4.87 novel trials + 4.73 post-test trials),196.72 (Gambian group),200,160.3 days (Gambian group - 5mo),5.34,5,5,non-newborn,41,0.50617284,Gambian ,full-term,td_risk,"full-term (37 to 42 weeks gestation), normal birthweight (>2500g)",Gowerlabs Ltd.,Not reported ,NA,34,109,13,3,12,0,81,81,1,0,0.256880734,0.119266055,0.027522936,0.110091743
142c,142,6/15/20,"Lloydäó_í‹íÈFox, Sarah; Blasi, Anna; McCann, Samantha; Rozhko, Maria; Katus, Laura; Mason, Luke; Austin, Topun; Moore, Sophie E.; Elwell, Clare E.",Habituation and novelty detection fnirs brain responses in 5- and 8-month-old infants: The gambia and uk,Developmental Science,2019,"B,C",B,Neural correlates of habituation and novelty detection in UK vs. Gambian infants,A,A,C,A,,"A,D,E","B,D","A,B,C",lab,awake,"Infants tested while an experimenter silently interacted with them, auditory stimuli presented for 8s at a time - 15 familiarization trials (female speaker) + 5 novel trials (male speaker) + 5 post-test trials (same female speaker), each preceded by 10s of silence","A,B,D",A,25,25,8,8,24.88 (UK group - 15 familiarization trials + 4.98 novel trials + 4.90 post-test trials),199.04 (UK group),200,250.91 (UK group - 8mo),8.36,8,8,non-newborn,22,0.511627907,British,full-term,td,"full-term (37 to 42 weeks gestation), normal birthweight (>2500g)",Gowerlabs Ltd.,Not reported ,NA,34,57,2,2,10,0,43,43,1,0,0.245614035,0.035087719,0.035087719,0.175438597
142d,142,6/15/20,"Lloydäó_í‹íÈFox, Sarah; Blasi, Anna; McCann, Samantha; Rozhko, Maria; Katus, Laura; Mason, Luke; Austin, Topun; Moore, Sophie E.; Elwell, Clare E.",Habituation and novelty detection fnirs brain responses in 5- and 8-month-old infants: The gambia and uk,Developmental Science,2019,"B,C",B,Neural correlates of habituation and novelty detection in UK vs. Gambian infants,A,A,C,A,,"A,D,E","B,D","A,B,C",lab,awake,"Infants tested while an experimenter silently interacted with them, auditory stimuli presented for 8s at a time - 15 familiarization trials (female speaker) + 5 novel trials (male speaker) + 5 post-test trials (same female speaker), each preceded by 10s of silence","A,B,D",A,25,25,8,8,24.59 (Gambian group - 14.99 familiarization trials + 4.87 novel trials + 4.73 post-test trials),196.72 (Gambian group),200,245.2 (Gambian group - 8mo),8.17,8,8,non-newborn,29,0.483333333,Gambian ,full-term,td_risk,"full-term (37 to 42 weeks gestation), normal birthweight (>2500g)",Gowerlabs Ltd.,Not reported ,NA,34,100,24,6,10,0,60,60,1,0,0.4,0.24,0.06,0.1
